Source,Target,Title,Year,Rhetorics,
BasePaper,BasePaper,An index to quantify an individual's scientific research output,2012,--,--
BasePaper,2012_33_8,Impact of the number of dermatologists on dermatology biomedical research: a Canadian study,2012,Puse,positive
BasePaper,2012_9_3,"Assessing the scientific productivity of Italian forest researchers using the Web of Science, SCOPUS and SCIMAGO databases",2012,Puse,positive
BasePaper,2012_41_4,A Context and Content Reflection on Business-IT Alignment Research,2012,Puse,neutral
BasePaper,2012_15_7,Scientific productivity of OECD countries in dermatology journals within the last 10?year period,2012,Puse,neutral
BasePaper,2012_8_7,Exploiting web querying for web people search,2012,Puse,negative
BasePaper,2012_15_2,Scientific production and citation impact: a bibliometric analysis in acupuncture over three decades,2012,Puse,positive
BasePaper,2012_46_4,Impact Factors: the grand delusion,2012,Puse,neutral
BasePaper,2012_15_8,The World Bank's publication record,2012,Puse,negative
BasePaper,2012_25_9,Legends of the field: Influential scholars in multicultural counseling,2012,Puse,positive
BasePaper,2012_33_9,What Should JOBM Be When It Grows Up?,2012,Puse,positive
BasePaper,2012_24_4,A quantile approach to integration with respect to non-additive measures,2012,Puse,positive
BasePaper,2012_42_2,VOXSUP: a social engagement framework,2012,Puse,positive
BasePaper,2012_20_5,"Reply to Chitnis and Smith, Fernandes, Gibbons, and Kane: Communicating theory effectively requires more explanation, not fewer equations",2012,Puse,positive
BasePaper,2012_41_3,Research Trends of Mechanism and Machine Theory Using Bibliometrics,2012,Puse,positive
BasePaper,2012_23_4,Quality & Quantity journal: a bibliometric snapshot,2012,Puse,positive
BasePaper,2012_40_4,Extra credit,2012,Puse,negative
BasePaper,2012_15_4,Use and misuse of the impact factor,2012,Puse,positive
BasePaper,2012_51_7,"Author-Level Eigenfactor Metrics: Evaluating the influence of authors, institutions and countries within the SSRN community",2012,Puse,positive
BasePaper,2012_26_9,Computing scientometrics in large-scale academic search engines with mapreduce,2012,Puse,positive
BasePaper,2012_16_2,Publication patterns of award-winning forest scientists and implications for the Australian ERA journal ranking,2012,Puse,neutral
BasePaper,2012_50_9,Scientific Publication in Software Engineering,2012,Puse,neutral
BasePaper,2012_35_10,Food for thought: Comparison of citations received from articles appearing in specialized eating disorder journals versus general psychiatry journals,2012,Puse,positive
BasePaper,2012_54_7,The h-and a-Indexes in Astronomy,2012,Puse,neutral
BasePaper,2012_12_10,Revised h index for biomedical research,2012,Puse,positive
BasePaper,2012_5_8,Trends in science networks: understanding structures and statistics of scientific networks,2012,Puse,negative
BasePaper,2012_54_3,A Hyperlink-based Model for the Management of Teaching Documents in a University Centre,2012,Puse,positive
BasePaper,2012_4_2,"Impact factors, scientometrics and the history of citation-based research",2012,Puse,positive
BasePaper,2012_24_5,A Review of the Journal of Investigative Dermatology's Most Cited Publications over the Past 25 Years and the Use of Developing Bibliometric Methodologies  …,2012,Puse,positive
BasePaper,2012_22_7,Instant social graph search,2012,Puse,positive
BasePaper,2012_41_8,Medical Journalism,2012,Puse,positive
BasePaper,2012_33_6,Helping communication programs represent their strengths: Toward an endogenous measure of article publication productivity in communication serials,2012,Puse,negative
BasePaper,2012_4_10,The success-index: an alternative approach to the h-index for evaluating an individual's research output,2012,Puse,positive
BasePaper,2012_22_1,Scale-Independent Measures: Theory and Practice,2012,Puse,positive
BasePaper,2012_42_5,Chemistry databases of the scientific and technical network STN International,2012,Puse,positive
BasePaper,2012_18_8,Digital Scholarship and the tenure process as an indicator of change in Universities,2012,Puse,positive
BasePaper,2012_26_5,Mining research abstracts for exploration of research communities,2012,Puse,negative
BasePaper,2012_23_6,A 10-year performance trajectory of top nutrition journals' impact factors,2012,Puse,positive
BasePaper,2012_12_1,Gender trends of urology manuscript authors in the United States: a 35-year progression,2012,Puse,positive
BasePaper,2012_34_7,Australasian Plant Pathology: an analysis of authorship and citations in the 21st century,2012,Puse,positive
BasePaper,2012_15_1,The stochastic h-index,2012,Puse,positive
BasePaper,2012_48_2,NEW METRICS FOR RESEARCH OUTPUTS FROM THE CHEMISTRY DEPARTMENT IN VALAHIA UNIVERSITY OF TARGOVISTE,2012,Puse,positive
BasePaper,2012_28_4,Impact Factor and other metrics for evaluating science: essentials for public health practitioners.,2012,Puse,positive
BasePaper,2012_16_8,"A comment to the papers by Opthof and Leydesdorff, Scientometrics, 88, 1011–1016, 2011 and Waltman et al., Scientometrics, 88, 1017–1022, 2011",2012,Puse,positive
BasePaper,2012_17_6,The citation merit of scientific publications,2012,Puse,neutral
BasePaper,2012_51_8,Ranking of Research Output of Spanish Universities on the Basis of the Multidimensional Prestige of Influential Fields of Study,2012,Puse,positive
BasePaper,2012_54_5,COCOON CORE: CO-?author REcommendations based on Betweenness Centrality and Interest Similarity,2012,Puse,positive
BasePaper,2012_28_8,Short term impact of the Chilean Journal of Agricultural Research: a bibliometric analysis,2012,Puse,positive
BasePaper,2012_39_4,Comparison of the citation distribution and h-index between groups of different sizes,2012,Puse,neutral
BasePaper,2012_39_3,"Impact Factor, Citation Index, H-Index: are researchers still free to choose where and how to publish their results?",2012,Puse,neutral
BasePaper,2012_24_9,Theoretical Analisis of Empirical Relationships for Pareto-Distributed Scientometric Data,2012,Puse,neutral
BasePaper,2012_40_8,Building research capacity in resource limited countries,2012,Puse,positive
BasePaper,2012_17_3,"Comparison of ISI web of knowledge, SCOPUS, and Google Scholar h-indices of Iranian nuclear medicine scientists",2012,Puse,neutral
BasePaper,2012_49_7,Measuring concentration in economic sectors by h-index and g-index,2012,Puse,positive
BasePaper,2012_33_5,V-index: a novel metric to measure virtuosity of academics,2012,Puse,positive
BasePaper,2012_2_9,"Coverage of Google Scholar, Scopus, and Web of Science: A case study of the h-index in nursing",2012,Puse,neutral
BasePaper,2012_22_3,Quality indicators of scientific research,2012,Puse,positive
BasePaper,2012_3_2,Testing the fairness of citation indicators for comparison across scientific domains: The case of fractional citation counts,2012,Puse,positive
BasePaper,2012_26_4,Scientometric analysis of container terminals and ports literature and interaction with publications on distribution networks,2012,Puse,positive
BasePaper,2012_53_2,Introduction to Journal Impact Factor and h-index: Influence and relevance to contemporary scientific publishing and scholastic achievements,2012,Puse,positive
BasePaper,2012_47_10,Open Access: The Nex t Revolution in Scholarly Publishing,2012,Puse,positive
BasePaper,2012_36_2,The thermodynamics-bibliometrics consilience and the mean of h-type indices-reply,2012,Puse,negative
BasePaper,2012_40_6,Walter R. Nord and Ann F. Connell: Rethinking the knowledge controversy in organization studies: A generative uncertainty perspective,2012,Puse,positive
BasePaper,2012_13_7,The impact of 10 years of war on combat casualty care research: a citation analysis,2012,Puse,positive
BasePaper,2012_49_4,Research on the Comparability of Multi-attribute Evaluation Methods for Academic Journals,2012,Puse,neutral
BasePaper,2012_6_4,A note on the ITS topic evolution in the period 2000–2009 at T-ITS,2012,Puse,positive
BasePaper,2012_55_5,"Survey of the research activity, skills and training needs of Health and Social Care professionals in Ireland",2012,Puse,positive
BasePaper,2012_25_2,Reference classes: a tool for benchmarking universities' research,2012,Puse,neutral
BasePaper,2012_11_10,To be or not to be cited in computer science,2012,Puse,positive
BasePaper,2012_24_3,D-INDEX: a web environment for analyzing dependences among scientific collaborators,2012,Puse,positive
BasePaper,2012_35_4,Further clarifications about the success-index,2012,Puse,positive
BasePaper,2012_2_4,"Egocentric analysis of co-authorship network structure, position and performance",2012,Puse,positive
BasePaper,2012_33_3,Scientific Productivity of Zahedan University of Medical Sciences,2012,Puse,positive
BasePaper,2012_8_3,The role of core documents in bibliometric network analysis and their relation with h-type indices,2012,Puse,negative
BasePaper,2012_34_5,Locating the key competitors: A new tool for technology manager,2012,Puse,positive
BasePaper,2012_7_10,A boosted-trees method for name disambiguation,2012,Puse,positive
BasePaper,2012_34_9,Bibliometric analysis of business and economics in the web of science,2012,Puse,positive
BasePaper,2012_6_1,Positive and negative aspects of citation indices and journal impact factors,2012,Puse,positive
BasePaper,2012_34_8,Drowning in the data deluge,2012,Puse,positive
BasePaper,2012_17_10,Total influence and mainstream measures for scientific researchers,2012,Puse,neutral
BasePaper,2012_24_6,BibRank: a language-based model for co-ranking entities in bibliographic networks,2012,Puse,positive
BasePaper,2012_47_9,Researcher Productivity,2012,Puse,positive
BasePaper,2012_54_8,Bridging the Gap: A Reflection on an Interdisciplinary Approach to Social Media Research,2012,Puse,positive
BasePaper,2012_12_2,A conceptual snapshot of the first decade (2002–2011) of the international journal of information technology & decision making,2012,Puse,positive
BasePaper,2012_9_7,South African universities in world rankings,2012,Puse,negative
BasePaper,2012_13_1,Criminology and criminal justice hit parade: Measuring academic productivity in the discipline,2012,Puse,positive
BasePaper,2012_57_1,La producción académica digital y el proceso de obtención de la titularidad académica como indicador del cambio en las universidades,2012,Puse,positive
BasePaper,2012_3_10,Citation networks,2012,Puse,positive
BasePaper,2012_2_2,"Scholarly network similarities: How bibliographic coupling networks, citation networks, cocitation networks, topical networks, coauthorship networks, and coword  …",2012,Puse,positive
BasePaper,2012_53_9,The Objectivity of National Research Foundation Peer Review Based Ratings in South Africa,2012,Puse,negative
BasePaper,2012_24_7,Examination of the impact of animal and dairy science journals based on traditional and newly developed bibliometric indices,2012,Puse,positive
BasePaper,2012_34_2,Compliance costs caused by agency action? Empirical evidence and implications for tax compliance,2012,Puse,positive
BasePaper,2012_1_5,Future impact: Predicting scientific success,2012,Puse,negative
BasePaper,2012_35_2,An adaptive approach for identifying reputation of researchers,2012,Puse,positive
BasePaper,2012_28_7,The Journal of Computer-Aided Molecular Design: a bibliometric note,2012,Puse,positive
BasePaper,2012_7_8,Measuring the surgical academic output of an institution: the “institutional” H-index,2012,Puse,neutral
BasePaper,2012_7_2,Scientometrics,2012,Puse,positive
