Source,Target,Title,Year,Rhetorics,
BasePaper,BasePaper,An index to quantify an individual's scientific research output,2012,--,--
BasePaper,2015_45_8,PUBLIC HEALTH SERVICES: BIBLIOMETRIC STUDY OF SCIENTIFIC LITERATURE FROM THE PERSPECTIVE OF INNOVATION IN SERVICES IN PRIMARY  …,2015,Weak,negative
BasePaper,2015_42_2,Bibliometric study of the relationship between business model and air transport,2015,Puse,negative
BasePaper,2015_54_7,EVALUATION OF SCIENTIFIC PAPERS BY MEANS OF NEW ALGORITHM ARTICLERANK,2015,Puse,positive
BasePaper,2015_60_10,Perspectives of patients about bioabsorbable internal fixation for maxillofacial fractures,2015,Puse,positive
BasePaper,2015_11_7,An evaluation based on highly cited publications in Taiwan,2015,Puse,positive
BasePaper,2015_25_1,"Spine fellowships, ESPN rankings, and the AP Top 25",2015,Puse,negative
BasePaper,2015_25_6,Advances in Knowledge Discovery and Data Mining,2015,Puse,positive
BasePaper,2015_1_6,The Biological Records Centre: a pioneer of citizen science,2015,Puse,positive
BasePaper,2015_54_9,""" Die siel van die mier"": Reflections on the battle for'scholarly'intelligence",2015,Puse,positive
BasePaper,2015_15_1,Using heterogeneous patent network features to rank and discover influential inventors,2015,Puse,positive
BasePaper,2015_29_3,Policy Incentives and Research Productivity in the Romanian Higher Education. An Institutional Approach,2015,Puse,positive
BasePaper,2015_5_10,Do PageRank-based author rankings outperform simple citation counts?,2015,Puse,positive
BasePaper,2015_51_10,A scientometric analysis of 15 years of CHINZ conferences,2015,Puse,neutral
BasePaper,2015_34_3,Bibliometric rankings of journals based on the Thomson Reuters citations database,2015,Puse,positive
BasePaper,2015_5_7,Improving chemical entity recognition through h-index based semantic similarity,2015,Puse,neutral
BasePaper,2015_39_6,An analysis of the relationship between academic impact and social media influence,2015,Puse,positive
BasePaper,2015_35_2,Impact of subspecialty fellowship training on research productivity among academic plastic surgery faculty in the United States,2015,Puse,positive
BasePaper,2015_44_5,Metrics and Visualizations in the Astrophysics Data System,2015,Puse,positive
BasePaper,2015_41_10,Learning experts' preferences from informetric data.,2015,Puse,positive
BasePaper,2015_20_6,An updated h-index measures both the primary and total scientific output of a researcher,2015,Puse,positive
BasePaper,2015_2_1,Ranking games,2015,Puse,positive
BasePaper,2015_46_2,New Methods and Evaluation Criteria of Research Efficiency,2015,Puse,neutral
BasePaper,2015_49_9,Analyzing and modeling groups,2015,Puse,neutral
BasePaper,2015_43_9,Spread and Skepticism: Metrics of Propagation on Twitter,2015,Puse,positive
BasePaper,2015_31_7,Assessing Faculty Productivity by Research Impact: Introducing Dp2 Index,2015,Puse,positive
BasePaper,2015_55_7,The Semantic Web Journal as Linked Data.,2015,Puse,positive
BasePaper,2015_25_7,Data mining citation databases: A new index measure that predicts nobel prizewinners,2015,Puse,neutral
BasePaper,2015_42_7,"December 7, 2015",2015,Puse,positive
BasePaper,2015_18_10,CITEX: A new citation index to measure the relative importance of authors and papers in scientific publications,2015,Puse,positive
BasePaper,2015_48_6,"The output of researchers in Morocco compared to some North African countries from 1996 to 2012, and its relationship to governmental major decisions on higher  …",2015,Puse,neutral
BasePaper,2015_21_1,The h-index in Academic Morphology,2015,Puse,positive
BasePaper,2015_49_6,Development of bibliometrics in Colombia,2015,Puse,positive
BasePaper,2015_18_9,Tc-index: A new research productivity index based on evolving communities,2015,Puse,positive
BasePaper,2015_10_6,Anatomy of funded research in science,2015,Puse,neutral
BasePaper,2015_47_3,The SSCI Syndrome in Higher Education: A Local or Global Phenomenon by Chuing Prudence Chou (review),2015,Puse,positive
BasePaper,2015_10_4,Do quantitative measures of research productivity correlate with academic rank in oral and maxillofacial surgery?,2015,Puse,positive
BasePaper,2015_54_10,Publication Measures of Scholarly Productivity: Norms for Academic Pediatric Pulmonologists,2015,Puse,negative
BasePaper,2015_12_1,Bibliometric indicators: opportunities and limits,2015,Puse,positive
BasePaper,2015_4_7,Structuring the Technology Entrepreneurship publication landscape: Making sense out of chaos,2015,Puse,positive
BasePaper,2015_55_4,Applying Sabermetrics to Academic Otolaryngology,2015,Puse,positive
BasePaper,2015_29_6,Evaluating the merit of research in clinical cardiology: from citation to declaration,2015,Puse,positive
BasePaper,2015_29_8,Bibliometric analyses of physical and occupational therapy faculty across canada indicate productivity and impact of rehabilitation research,2015,Puse,positive
BasePaper,2015_15_9,Scholarly investigation into otitis media: who is receiving funding support from the National Institutes of Health?,2015,Puse,neutral
BasePaper,2015_41_7,Initiative for an H-index based Rating of Conferences and Journals in HCI and Related Fields,2015,Puse,positive
BasePaper,2015_50_3,An IS Scholar and Scholarship Ranking Based on Contributions to Doctoral Education,2015,Puse,positive
BasePaper,2015_53_9,"Provably Correct Systems: Community, connections, and citations",2015,Puse,positive
BasePaper,2015_55_6,C-Index as a Quantitative Index to Measure Individual Academic Achievement in China,2015,Puse,positive
BasePaper,2015_17_1,The role of chairman and research director in influencing scholarly productivity and research funding in academic orthopaedic surgery,2015,Puse,positive
BasePaper,2015_4_3,Global methaemoglobinaemia research output (1940–2013): a bibliometric analysis,2015,Puse,positive
BasePaper,2015_19_3,Geo-social ranking: functions and query processing,2015,Puse,positive
BasePaper,2015_34_10,Measuring technological performance of assignees using trace metrics in three fields,2015,Puse,neutral
BasePaper,2015_53_6,"ASSESSING A KNOWLEDGE PRODUCTION SYSTEM FOR EVIDENCE-BASED STUDIES: TERRORISM RESEARCH, 1992-2013",2015,Puse,positive
BasePaper,2015_21_5,Prediction of junior faculty success in biomedical research: Comparison of metrics and effects of mentoring programs,2015,Puse,positive
BasePaper,2015_34_4,"Impact of Self-Citations on Impact Factor: A Study Across Disciplines, Countries and Continents",2015,Puse,positive
BasePaper,2015_29_7,Author credit for transdisciplinary collaboration,2015,Puse,neutral
BasePaper,2015_48_5,Ranking the Leading Journals in Finance and Accounting Based on Quantity and Quality Citations,2015,Puse,positive
BasePaper,2015_49_8,Growth and collaboration trends in the field of fashion technology a scientometric analysis,2015,Puse,positive
BasePaper,2015_40_10,Scientific publications in pediatrics over the last ten years in Turkey and worldwide.,2015,Puse,positive
BasePaper,2015_6_1,A descriptive and historical review of bibliometrics with applications to medical sciences,2015,Puse,positive
BasePaper,2015_32_9,Supporting Scholars: An Analysis of Academic Library Websites' Documentation on Metrics and Impact,2015,Puse,positive
BasePaper,2015_40_9,Effective Citation Recommendation by Unbiased Reference Priority Recognition,2015,Puse,positive
BasePaper,2015_45_10,The Altmetric Score: A New Measure for Article-Level Dissemination and Impact,2015,Puse,positive
BasePaper,2015_30_3,"Citation Differences between ABC Journals and Related, but, Unaffiliated Quality Journals",2015,Puse,positive
BasePaper,2015_9_1,The elevation of annals of rehabilitation medicine to the status of an international journal after adopting an English-only policy,2015,Puse,positive
BasePaper,2015_30_7,National Institutes of Health Funding for Obstructive Sleep Apnea: An Opportunity for Otolaryngologists,2015,Puse,neutral
BasePaper,2015_48_10,Sugeno integral-based confidence intervals for the theoretical h-index,2015,Puse,positive
BasePaper,2015_59_1,A Characterization of the Strategic Management Journal Best Paper Prize 1993-2014 through Bibliometric Indicators,2015,Puse,positive
BasePaper,2015_47_5,Networked Knowledge,2015,Puse,neutral
BasePaper,2015_54_4,Interpolated sub-impact factor (SIF) sequences for journal rankings,2015,Puse,positive
BasePaper,2015_51_4,Tenure Analytics: Models for Predicting Research Impact,2015,Puse,positive
BasePaper,2015_41_5,Social network analysis for predicting emerging researchers,2015,Puse,positive
BasePaper,2015_7_9,Predicting results of the Research Excellence Framework using departmental h-index,2015,Puse,neutral
BasePaper,2015_24_3,Object-based relationship search using a plurality of sub-queries,2015,Puse,positive
BasePaper,2015_58_8,"Research Assessment Using Bibliometric and Scientometric Measures: The Good, the Bad, and the Ugly",2015,Puse,negative
BasePaper,2015_23_6,Unsupervised characterization of research institutions with task-force estimation,2015,Puse,positive
BasePaper,2015_20_7,Measuring the attractiveness of academic journals: A direct influence aggregation model,2015,Puse,neutral
BasePaper,2015_61_7,Trend-Based Citation Count Prediction for Research Articles,2015,Puse,positive
BasePaper,2015_23_8,"Using citation indexes, citation searching, and bibliometrics to improve chemistry scholarship, research, and administration",2015,Puse,positive
BasePaper,2015_8_4,"Educational Expertise, Advocacy, and Media Influence.",2015,Puse,positive
BasePaper,2015_53_10,El Índice h en la Morfología Académica,2015,Puse,positive
BasePaper,2015_25_5,Assessing and developing early careers in academic research: how can we improve the current systems?,2015,Puse,positive
