Source,Target,Title,Year,Rhetorics,
BasePaper,BasePaper,An index to quantify an individual's scientific research output,2010,--,--
BasePaper,2010_13_4,Open Science 2.0: how research and education can benefit from open innovation and Web 2.0,2010,Puse,positive
BasePaper,2010_9_5,"Quality, quantity, and impact in academic publication",2010,Puse,positive
BasePaper,2010_22_6,Body height and occupational success for actors and actresses,2010,Puse,positive
BasePaper,2010_4_9,The w?index: A measure to assess scientific impact by focusing on widely cited papers,2010,Puse,positive
BasePaper,2010_5_6,Using the web for research evaluation: The Integrated Online Impact indicator,2010,Puse,positive
BasePaper,2010_16_10,A robust benchmark for the h?and g?indexes,2010,Puse,positive
BasePaper,2010_8_5,Comparative analysis between impact factor and h-index for pharmacology and psychiatry journals,2010,Puse,positive
BasePaper,2010_13_10,Global psychology: A bibliometric analysis of Web of Science publications,2010,Puse,positive
BasePaper,2010_50_4,Web Services for Bibliometrics,2010,Puse,positive
BasePaper,2010_52_8,"Convexity, subadditivity and the Hirsch index",2010,Puse,positive
BasePaper,2010_19_9,f-Value: measuring an article's scientific impact,2010,Puse,positive
BasePaper,2010_10_7,A two-dimensional approach to evaluate the scientific production of countries (case study: the basic sciences),2010,Puse,positive
BasePaper,2010_12_1,How to Write a Good Paper in Computer Science and HowWill It Be Measured by ISI Web of Knowledge,2010,Puse,positive
BasePaper,2010_24_7,The first 30 years of the journal of crustacean biology–a bibliometric study,2010,Puse,positive
BasePaper,2010_3_1,Methods for measuring the citations and productivity of scientists across time and discipline,2010,Puse,positive
BasePaper,2010_10_2,Revisiting the g?index: The average number of citations in the g?core,2010,Puse,positive
BasePaper,2010_18_4,Ranking marketing journals using the search engine Google Scholar,2010,Puse,positive
BasePaper,2010_18_9,Careers of an elite cohort of US basic life science postdoctoral fellows and the influence of their mentor's citation record,2010,Puse,positive
BasePaper,2010_20_9,"Science, technology and innovation policies in Latin America and the Caribbean during the past six decades",2010,Puse,positive
BasePaper,2010_2_3,Divrank: the interplay of prestige and diversity in information networks,2010,Puse,positive
BasePaper,2010_24_8,Measuring the visibility of the universities' scientific production using scientometric methods,2010,Puse,neutral
BasePaper,2010_7_3,"Ranking of library and information science researchers: Comparison of data sources for correlating citation data, and expert judgments",2010,Puse,neutral
BasePaper,2010_17_10,A review of CRIWG research,2010,Puse,positive
BasePaper,2010_36_1,An Algorithmic Comparison of Three Scientific Impact Indices.,2010,Puse,positive
BasePaper,2010_45_8,Automatic metaresearch on scientific communities,2010,Puse,positive
BasePaper,2010_20_7,An iCE map approach to evaluate performance and efficiency of scientific production of countries,2010,Puse,positive
BasePaper,2010_7_1,Talking shop and shooting the breeze: A study of workplace conversation and job disengagement among STEM faculty,2010,Puse,positive
BasePaper,2010_29_9,The import of the impact factor: fallacies of citation-dependent scientometry,2010,Puse,neutral
BasePaper,2010_43_3,Bibliometric indicators: spread reflections for a focusing and conscious use,2010,Puse,negative
BasePaper,2010_49_7,Early History of the IEEE Magnetics Society and Introduction to IEEE MAGNETICS LETTERS,2010,Puse,positive
BasePaper,2010_51_5,Evaluating the Productivity of Researchers and their Communities: The RP-Index and the CP-Index,2010,Puse,neutral
BasePaper,2010_3_3,A bibliometric analysis of solid waste research during the period 1993–2008,2010,Puse,positive
BasePaper,2010_8_8,"Citation graph, weighted impact factors and performance indices",2010,Puse,positive
BasePaper,2010_35_10,"On the number of ISI citations to JETA, JIS, IJAIS, and ISAFM",2010,Puse,positive
BasePaper,2010_41_2,Introduction of a Peer-review Process to an Interdisciplinary Symposium on Virtual Vehicle Development,2010,Puse,positive
